,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,inyonga,32,TZ,1551937510,85,68.36,-6.72,32.06,3.71
1,carnarvon,24,ZA,1551937145,29,69.71,-30.97,22.13,8.41
2,rikitea,68,PF,1551937244,100,79.93,-23.12,-134.97,17.02
3,sinnamary,92,GF,1551937511,100,78.13,5.38,-52.96,13.22
4,hermanus,80,ZA,1551936740,89,66.0,-34.42,19.24,1.01
5,bambanglipuro,88,ID,1551937512,88,81.73,-7.95,110.28,4.16
6,devarkonda,0,IN,1551937514,39,92.17,16.69,78.91,7.18
7,ankang,92,CN,1551937514,59,41.05,32.73,108.99,3.27
8,mount gambier,8,AU,1551934800,26,71.6,-37.83,140.78,9.17
9,adrar,0,DZ,1551934800,20,51.8,27.87,-0.29,5.82
10,puerto ayora,0,EC,1551937209,100,79.34,-0.74,-90.35,8.97
11,marabba,0,SD,1551937514,18,71.24,12.35,32.18,11.54
12,karaton,20,ID,1551937396,66,84.2,-6.34,106.1,6.93
13,jamestown,0,AU,1551937142,42,71.11,-33.21,138.6,8.86
14,ilulissat,36,GL,1551934200,53,23.0,69.22,-51.1,8.05
15,ushuaia,75,AR,1551934800,80,39.2,-54.81,-68.31,18.34
16,hobart,0,AU,1551937215,32,68.0,-42.88,147.33,20.8
17,saint-philippe,1,CA,1551937207,55,8.6,45.36,-73.48,3.36
18,sindor,64,RU,1551937516,74,11.26,62.87,51.9,9.42
19,ladario,92,PT,1551937499,98,46.0,40.7,-7.74,1.99
20,arraial do cabo,48,BR,1551937039,89,80.24,-22.97,-42.02,11.77
21,thompson,20,CA,1551934800,65,5.0,55.74,-97.86,11.41
22,luderitz,0,NA,1551937302,93,59.09,-26.65,15.16,11.99
23,te anau,92,NZ,1551937165,100,48.25,-45.41,167.72,7.07
24,san patricio,100,PY,1551937279,88,76.46,-26.98,-56.83,3.94
25,ponta do sol,32,BR,1551937293,95,63.46,-20.63,-46.0,2.82
26,ixtapa,5,MX,1551937504,100,73.0,20.71,-105.21,2.04
27,yellowknife,5,CA,1551936996,84,7.0,62.45,-114.38,4.7
28,hilo,90,US,1551937231,88,66.2,19.71,-155.08,5.82
29,sola,90,FI,1551936000,92,19.4,62.78,29.36,8.05
30,avarua,92,CK,1551936600,78,80.6,-21.21,-159.78,9.17
31,flinders,0,AU,1551937446,35,71.01,-34.58,150.85,10.29
32,namatanai,68,PG,1551937457,100,81.55,-3.66,152.44,2.37
33,viedma,92,AR,1551937356,34,77.41,-40.81,-62.99,23.29
34,tuktoyaktuk,40,CA,1551934800,84,-0.41,69.44,-133.03,5.82
35,kuminskiy,76,RU,1551937523,87,34.3,58.67,66.57,12.21
36,iquitos,90,PE,1551936060,94,75.2,-3.75,-73.25,6.93
37,lavrentiya,32,RU,1551937246,100,15.13,65.58,-170.99,12.44
38,upernavik,8,GL,1551937231,100,3.74,72.79,-56.15,20.83
39,vaini,0,IN,1551934800,34,78.8,15.34,74.49,6.93
40,solnechnyy,8,RU,1551937252,60,31.87,50.72,136.64,4.05
41,lompoc,92,US,1551937225,81,55.4,34.64,-120.46,5.95
42,qasigiannguit,36,GL,1551934200,53,23.0,68.82,-51.19,8.05
43,solano,24,PH,1551937525,48,83.21,16.52,121.18,3.6
44,kapaa,40,US,1551937101,64,73.4,22.08,-159.32,19.46
45,cahors,92,FR,1551937238,91,45.0,44.45,1.44,1.01
46,buarcos,40,PT,1551937490,100,46.4,40.16,-8.88,5.82
47,busselton,100,AU,1551937215,60,73.99,-33.64,115.35,2.93
48,cape town,75,ZA,1551937216,82,68.0,-33.93,18.42,5.82
49,cherskiy,20,RU,1551937147,69,-5.44,68.75,161.3,0.58
50,souillac,92,FR,1551937211,87,46.99,45.6,-0.6,11.41
51,mar del plata,92,AR,1551937236,95,47.84,-46.43,-67.52,12.66
52,mataura,100,NZ,1551937206,94,53.01,-46.19,168.86,1.99
53,atuona,92,PF,1551937244,98,83.12,-9.8,-139.03,17.47
54,choa saidan shah,8,PK,1551937526,97,58.64,32.72,72.98,4.27
55,hamilton,20,CA,1551937239,84,16.0,43.26,-79.87,4.7
56,banda aceh,32,ID,1551937401,78,86.05,5.56,95.32,2.37
57,castro,90,CL,1551934800,93,51.8,-42.48,-73.76,6.93
58,cidreira,8,BR,1551937336,92,73.76,-30.17,-50.22,6.62
59,turukhansk,88,RU,1551937527,84,12.43,65.8,87.96,24.18
60,bluff,44,AU,1551937244,32,95.41,-23.58,149.07,12.21
61,iqaluit,75,CA,1551937371,68,-18.01,63.75,-68.52,26.4
62,punta arenas,0,CL,1551936795,75,41.0,-53.16,-70.91,16.11
63,barrow,44,AR,1551937247,77,74.8,-38.31,-60.23,13.33
64,tomatlan,0,MX,1551937528,88,63.64,19.93,-105.25,2.15
65,muisne,92,EC,1551937528,92,74.66,0.61,-80.02,3.38
66,severo-kurilsk,24,RU,1551937171,100,25.79,50.68,156.12,18.14
67,kieta,88,PG,1551937529,100,77.5,-6.22,155.63,3.94
68,butaritari,80,KI,1551937236,100,80.87,3.07,172.79,13.44
69,acapulco,5,MX,1551933840,88,78.8,16.86,-99.88,3.6
70,cedar city,40,US,1551936713,75,42.8,37.68,-113.06,12.75
71,torbay,90,CA,1551937108,79,21.0,47.66,-52.73,12.75
72,katsuura,75,JP,1551936283,76,52.0,33.93,134.5,14.99
73,bathsheba,40,BB,1551934800,78,77.0,13.22,-59.52,14.99
74,sinfra,0,CI,1551937530,96,73.18,6.62,-5.91,3.6
75,tasiilaq,88,GL,1551937316,100,17.69,65.61,-37.64,17.47
76,half moon bay,90,US,1551937329,87,54.0,37.46,-122.43,9.17
77,soyo,20,AO,1551934800,88,78.8,-6.13,12.37,1.36
78,lagoa,0,PT,1551937028,93,51.01,37.14,-8.45,3.36
79,la ronge,5,CA,1551934800,77,3.2,55.1,-105.3,5.82
80,katangli,20,RU,1551937531,100,22.82,51.71,143.23,6.96
81,micheweni,0,TZ,1551937237,100,83.26,-4.97,39.83,12.77
82,semey,0,KZ,1551936600,72,14.0,50.41,80.25,4.47
83,fort nelson,5,CA,1551934800,77,5.0,58.81,-122.69,3.36
84,kloulklubed,90,PW,1551934200,74,82.4,7.04,134.26,9.17
85,busayra,0,JO,1551937532,86,46.67,30.74,35.61,2.15
